Transaction ID,Date,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount
107,2023-02-03,Female,21,Adolescent,Clothing,4,300,1200
108,2023-04-19,Female,27,Adolescent,Beauty,3,25,75
109,2023-10-18,Female,34,Middle Age,Electronics,4,500,2000
110,2023-06-11,Male,27,Adolescent,Clothing,3,300,900
111,2023-04-19,Female,34,Middle Age,Electronics,3,500,1500
112,2023-12-02,Male,37,Middle Age,Clothing,3,500,1500
113,2023-09-13,Female,41,Middle Age,Electronics,2,25,50
114,2023-07-22,Female,22,Adolescent,Beauty,4,25,100
115,2023-11-26,Male,51,Middle Age,Clothing,3,500,1500
116,2023-08-23,Female,23,Adolescent,Clothing,1,30,30
117,2023-03-15,Male,19,Adolescent,Electronics,2,500,1000
118,2023-05-16,Female,30,Adolescent,Electronics,4,500,2000
119,2023-03-13,Female,60,Old,Clothing,3,50,150
120,2023-05-07,Male,60,Old,Beauty,1,50,50
121,2023-10-15,Female,28,Adolescent,Electronics,4,50,200
122,2023-10-03,Male,64,Old,Electronics,4,30,120
123,2023-05-15,Female,40,Middle Age,Electronics,2,30,60
124,2023-10-27,Male,33,Middle Age,Clothing,4,500,2000
125,2023-08-08,Male,48,Middle Age,Clothing,2,50,100
126,2023-10-26,Female,28,Adolescent,Clothing,3,30,90
127,2023-07-24,Female,33,Middle Age,Clothing,2,25,50
128,2023-07-05,Male,25,Adolescent,Beauty,1,500,500
129,2023-04-23,Female,21,Adolescent,Beauty,2,300,600
130,2023-03-12,Female,57,Old,Clothing,1,500,500
131,2023-09-18,Female,21,Adolescent,Beauty,2,300,600
132,2023-09-10,Male,42,Middle Age,Electronics,4,50,200
133,2023-02-16,Male,20,Adolescent,Electronics,3,300,900
134,2023-01-25,Male,49,Middle Age,Electronics,1,50,50
135,2023-02-26,Male,20,Adolescent,Clothing,2,25,50
136,2023-03-20,Male,44,Middle Age,Electronics,2,300,600
137,2023-11-18,Male,46,Middle Age,Beauty,2,500,1000
138,2023-03-23,Male,49,Middle Age,Clothing,4,50,200
139,2023-12-15,Male,36,Middle Age,Beauty,4,500,2000
140,2023-08-05,Male,38,Middle Age,Electronics,1,30,30
141,2023-11-02,Female,22,Adolescent,Electronics,1,50,50
142,2023-02-02,Male,35,Middle Age,Electronics,4,300,1200
143,2023-07-17,Female,45,Middle Age,Clothing,1,50,50
144,2023-07-15,Female,59,Old,Beauty,3,500,1500
145,2023-11-02,Female,39,Middle Age,Clothing,3,25,75
146,2023-08-28,Male,38,Middle Age,Clothing,4,50,200
147,2023-09-28,Male,23,Adolescent,Electronics,1,300,300
148,2023-05-09,Male,18,Adolescent,Clothing,2,30,60
149,2023-10-11,Male,22,Adolescent,Clothing,3,25,75
150,2023-01-06,Female,58,Old,Electronics,4,30,120
151,2023-12-15,Male,29,Adolescent,Clothing,1,50,50
152,2023-02-28,Male,43,Middle Age,Electronics,4,500,2000
153,2023-12-16,Male,63,Old,Electronics,2,500,1000
154,2023-10-02,Male,51,Middle Age,Electronics,3,300,900
155,2023-05-17,Male,31,Adolescent,Electronics,4,500,2000
156,2023-11-25,Female,43,Middle Age,Clothing,4,25,100
157,2023-06-24,Male,62,Old,Electronics,4,500,2000
158,2023-02-27,Female,44,Middle Age,Electronics,2,300,600
159,2023-05-31,Male,26,Adolescent,Clothing,4,50,200
160,2023-08-11,Female,43,Middle Age,Clothing,2,50,100
161,2023-03-22,Male,64,Old,Beauty,2,500,1000
162,2023-08-21,Male,39,Middle Age,Clothing,2,30,60
163,2023-01-02,Female,64,Old,Clothing,3,50,150
164,2023-05-15,Female,47,Middle Age,Beauty,3,500,1500
165,2023-09-14,Female,60,Old,Clothing,4,300,1200
166,2023-04-02,Male,34,Middle Age,Clothing,4,500,2000
167,2023-09-17,Female,43,Middle Age,Clothing,3,50,150
168,2023-02-24,Male,53,Middle Age,Clothing,1,300,300
169,2023-11-17,Male,18,Adolescent,Beauty,3,500,1500
170,2023-06-02,Female,25,Adolescent,Clothing,2,25,50
171,2023-11-24,Female,52,Middle Age,Clothing,3,300,900
172,2023-09-17,Male,32,Middle Age,Beauty,2,25,50
173,2023-11-08,Male,64,Old,Electronics,4,30,120
174,2023-04-12,Female,39,Middle Age,Beauty,1,300,300
175,2023-03-20,Female,31,Adolescent,Electronics,4,25,100
176,2023-07-11,Female,43,Middle Age,Beauty,2,50,100
177,2023-03-24,Male,45,Middle Age,Beauty,2,50,100
178,2023-10-04,Male,40,Middle Age,Clothing,2,30,60
179,2023-09-29,Male,31,Adolescent,Electronics,1,300,300
180,2023-01-01,Male,41,Middle Age,Clothing,3,300,900
181,2023-11-03,Male,19,Adolescent,Electronics,4,300,1200
182,2023-06-15,Male,62,Old,Beauty,4,30,120
183,2023-09-08,Female,43,Middle Age,Beauty,3,300,900
184,2023-01-10,Male,31,Adolescent,Electronics,4,50,200
185,2023-02-27,Male,24,Adolescent,Clothing,1,25,25
186,2023-07-05,Male,20,Adolescent,Clothing,4,50,200
187,2023-06-07,Female,64,Old,Clothing,2,50,100
188,2023-05-03,Male,40,Middle Age,Clothing,3,25,75
189,2023-01-30,Male,63,Old,Beauty,1,50,50
190,2023-05-04,Female,60,Old,Beauty,3,30,90
191,2023-10-18,Male,64,Old,Beauty,1,25,25
192,2023-02-10,Male,62,Old,Beauty,2,50,100
193,2023-02-13,Male,35,Middle Age,Beauty,3,500,1500
194,2023-09-06,Male,55,Old,Clothing,4,50,200
195,2023-02-05,Male,52,Middle Age,Clothing,1,30,30
196,2023-09-30,Female,32,Middle Age,Clothing,3,300,900
197,2023-03-06,Female,42,Middle Age,Clothing,4,50,200
198,2023-03-07,Female,54,Middle Age,Beauty,3,300,900
199,2023-12-04,Male,45,Middle Age,Beauty,3,500,1500
200,2023-09-01,Male,27,Adolescent,Beauty,3,50,150
201,2023-10-09,Male,56,Old,Electronics,1,25,25
202,2023-03-26,Female,34,Middle Age,Clothing,4,300,1200
203,2023-05-16,Male,56,Old,Clothing,2,500,1000
204,2023-09-28,Male,39,Middle Age,Beauty,1,25,25
205,2023-11-07,Female,43,Middle Age,Clothing,1,25,25
206,2023-08-05,Male,61,Old,Clothing,1,25,25
207,2023-04-19,Female,42,Middle Age,Beauty,2,25,50
208,2023-10-04,Female,34,Middle Age,Electronics,4,50,200
209,2023-12-20,Female,30,Adolescent,Electronics,4,50,200
210,2023-04-13,Male,37,Middle Age,Electronics,4,50,200
211,2024-01-01,Male,42,Middle Age,Beauty,3,500,1500
212,2023-06-09,Male,21,Adolescent,Clothing,3,500,1500
213,2023-07-24,Male,27,Adolescent,Beauty,3,500,1500
214,2023-12-10,Male,20,Adolescent,Beauty,2,30,60
215,2023-11-29,Male,58,Old,Clothing,3,500,1500
216,2023-07-11,Male,62,Old,Electronics,2,50,100
217,2023-08-13,Female,35,Middle Age,Electronics,4,50,200
218,2023-09-22,Male,64,Old,Beauty,3,30,90
219,2023-08-20,Female,53,Middle Age,Electronics,3,30,90
220,2023-03-03,Male,64,Old,Beauty,1,500,500
221,2023-05-07,Male,39,Middle Age,Beauty,2,300,600
222,2023-04-26,Male,51,Middle Age,Clothing,4,30,120
223,2023-02-02,Female,64,Old,Clothing,1,25,25
224,2023-06-23,Female,25,Adolescent,Clothing,1,50,50
225,2023-01-11,Female,57,Old,Beauty,4,25,100
226,2023-10-29,Female,61,Old,Clothing,1,50,50
227,2023-10-11,Male,36,Middle Age,Electronics,2,50,100
228,2023-04-28,Female,59,Old,Electronics,2,30,60
229,2023-10-29,Male,58,Old,Beauty,3,30,90
230,2023-04-23,Male,54,Middle Age,Beauty,1,25,25
231,2023-01-04,Female,23,Adolescent,Clothing,3,50,150
232,2023-02-06,Female,43,Middle Age,Beauty,1,25,25
233,2023-12-29,Female,51,Middle Age,Beauty,2,300,600
234,2023-11-20,Female,62,Old,Electronics,2,25,50
235,2023-01-31,Female,23,Adolescent,Electronics,2,500,1000
236,2023-04-28,Female,54,Middle Age,Clothing,1,25,25
237,2023-02-04,Female,50,Middle Age,Beauty,2,500,1000
238,2023-01-17,Female,39,Middle Age,Beauty,1,500,500
239,2023-06-19,Male,38,Middle Age,Electronics,3,500,1500
240,2023-02-06,Female,23,Adolescent,Beauty,1,300,300
241,2023-09-21,Female,23,Adolescent,Electronics,3,25,75
242,2023-05-02,Male,21,Adolescent,Clothing,1,25,25
243,2023-05-23,Female,47,Middle Age,Electronics,3,300,900
244,2023-12-09,Male,28,Adolescent,Beauty,2,50,100
245,2023-09-06,Male,47,Middle Age,Clothing,3,30,90
246,2023-04-20,Female,48,Middle Age,Electronics,2,25,50
247,2023-10-04,Male,41,Middle Age,Electronics,2,30,60
248,2023-03-09,Male,26,Adolescent,Clothing,3,300,900
249,2023-10-20,Male,20,Adolescent,Clothing,1,50,50
250,2023-10-23,Male,48,Middle Age,Electronics,1,50,50
251,2023-08-31,Female,57,Old,Beauty,4,50,200
252,2023-05-05,Male,54,Middle Age,Electronics,1,300,300
253,2023-08-31,Female,53,Middle Age,Clothing,4,500,2000
254,2023-07-28,Male,41,Middle Age,Electronics,1,500,500
255,2023-04-08,Male,48,Middle Age,Clothing,1,30,30
256,2023-02-18,Male,23,Adolescent,Clothing,2,500,1000
257,2023-02-19,Male,19,Adolescent,Beauty,4,500,2000
258,2023-12-04,Female,37,Middle Age,Clothing,1,50,50
259,2023-08-09,Female,45,Middle Age,Clothing,4,50,200
260,2023-07-01,Male,28,Adolescent,Beauty,2,30,60
261,2023-08-05,Male,21,Adolescent,Clothing,2,25,50
262,2023-07-30,Female,32,Middle Age,Beauty,4,30,120
263,2023-08-28,Male,23,Adolescent,Beauty,2,30,60
264,2023-01-28,Male,47,Middle Age,Clothing,3,300,900
265,2023-12-11,Male,55,Old,Clothing,3,300,900
266,2023-12-01,Female,19,Adolescent,Electronics,2,30,60
267,2023-11-27,Female,32,Middle Age,Beauty,3,30,90
268,2023-02-20,Female,28,Adolescent,Electronics,1,30,30
269,2023-02-01,Male,25,Adolescent,Clothing,4,500,2000
270,2023-07-26,Male,43,Middle Age,Electronics,1,300,300
271,2023-06-23,Female,62,Old,Beauty,4,30,120
272,2023-02-25,Female,61,Old,Electronics,2,50,100
273,2023-05-08,Female,22,Adolescent,Beauty,1,50,50
274,2023-04-09,Female,23,Adolescent,Clothing,2,500,1000
275,2023-04-08,Male,43,Middle Age,Clothing,2,500,1000
276,2023-10-02,Female,21,Adolescent,Beauty,4,25,100
277,2023-08-18,Male,36,Middle Age,Clothing,4,25,100
278,2023-03-13,Female,37,Middle Age,Clothing,4,25,100
279,2023-08-05,Male,50,Middle Age,Clothing,1,500,500
280,2023-04-04,Female,37,Middle Age,Clothing,3,500,1500
281,2023-05-23,Female,29,Adolescent,Beauty,4,500,2000
282,2023-08-25,Female,64,Old,Electronics,4,50,200
283,2023-05-08,Female,18,Adolescent,Electronics,1,500,500
284,2023-02-08,Male,43,Middle Age,Clothing,4,50,200
285,2023-08-15,Female,31,Adolescent,Electronics,1,25,25
286,2023-10-09,Male,55,Old,Electronics,2,25,50
287,2023-02-20,Male,54,Middle Age,Clothing,4,25,100
288,2023-01-26,Male,28,Adolescent,Clothing,4,30,120
289,2023-11-30,Male,53,Middle Age,Electronics,2,30,60
290,2023-10-04,Female,30,Adolescent,Beauty,2,300,600
291,2023-01-08,Male,60,Old,Clothing,2,300,600
292,2023-02-17,Male,20,Adolescent,Beauty,4,300,1200
293,2023-05-02,Male,50,Middle Age,Electronics,3,30,90
294,2023-03-27,Female,23,Adolescent,Clothing,3,30,90
295,2023-07-28,Female,27,Adolescent,Beauty,3,300,900
296,2023-09-06,Female,22,Adolescent,Clothing,4,300,1200
297,2023-09-04,Female,40,Middle Age,Electronics,2,500,1000
298,2023-04-20,Male,27,Adolescent,Beauty,4,300,1200
299,2023-07-25,Male,61,Old,Electronics,2,500,1000
300,2023-01-31,Female,19,Adolescent,Electronics,4,50,200
301,2023-03-26,Male,30,Adolescent,Clothing,4,30,120
302,2023-07-14,Male,57,Old,Beauty,2,300,600
303,2023-01-02,Male,19,Adolescent,Electronics,3,30,90
304,2023-07-19,Female,37,Middle Age,Electronics,2,30,60
305,2023-05-16,Female,18,Adolescent,Beauty,1,30,30
306,2023-08-21,Male,54,Middle Age,Electronics,1,50,50
307,2023-05-27,Female,26,Adolescent,Electronics,2,25,50
308,2023-08-05,Female,34,Middle Age,Beauty,4,300,1200
309,2023-12-23,Female,26,Adolescent,Beauty,1,25,25
310,2023-10-12,Female,28,Adolescent,Beauty,1,25,25
311,2023-12-05,Female,32,Middle Age,Beauty,4,25,100
312,2023-09-07,Male,41,Middle Age,Clothing,4,30,120
313,2023-03-21,Female,55,Old,Beauty,3,500,1500
314,2023-04-08,Male,52,Middle Age,Clothing,4,30,120
315,2023-06-01,Male,47,Middle Age,Clothing,2,30,60
316,2023-04-22,Female,48,Middle Age,Clothing,2,25,50
317,2023-01-30,Male,22,Adolescent,Electronics,3,30,90
318,2023-10-24,Male,61,Old,Clothing,1,25,25
319,2023-10-05,Male,31,Adolescent,Clothing,1,500,500
320,2023-02-01,Female,28,Adolescent,Electronics,4,300,1200
321,2023-06-10,Female,26,Adolescent,Electronics,2,25,50
322,2023-01-30,Male,51,Middle Age,Electronics,1,500,500
323,2023-01-26,Female,29,Adolescent,Beauty,3,300,900
324,2023-10-27,Female,52,Middle Age,Electronics,3,50,150
325,2023-09-02,Female,52,Middle Age,Electronics,2,25,50
326,2023-09-15,Female,18,Adolescent,Clothing,3,25,75
327,2023-09-29,Male,57,Old,Electronics,3,50,150
328,2023-03-22,Male,39,Middle Age,Beauty,2,50,100
329,2023-01-30,Female,46,Middle Age,Electronics,4,25,100
330,2023-09-18,Female,25,Adolescent,Beauty,4,50,200
331,2023-02-11,Male,28,Adolescent,Electronics,3,30,90
332,2023-04-06,Male,58,Old,Electronics,4,300,1200
333,2023-02-05,Female,54,Middle Age,Electronics,4,300,1200
334,2023-11-01,Male,31,Adolescent,Electronics,3,300,900
335,2023-02-04,Female,47,Middle Age,Beauty,4,30,120
336,2023-12-12,Female,52,Middle Age,Beauty,3,50,150
337,2023-05-01,Male,38,Middle Age,Clothing,1,500,500
338,2023-07-26,Male,54,Middle Age,Beauty,2,50,100
339,2023-03-03,Female,22,Adolescent,Electronics,2,25,50
340,2023-10-19,Female,36,Middle Age,Clothing,4,300,1200
341,2023-05-07,Male,31,Adolescent,Clothing,4,50,200
342,2023-10-24,Female,43,Middle Age,Clothing,4,500,2000
343,2023-11-01,Male,21,Adolescent,Electronics,2,25,50
344,2023-01-21,Female,42,Middle Age,Beauty,1,30,30
345,2023-11-14,Male,62,Old,Electronics,1,30,30
346,2023-02-11,Male,59,Old,Clothing,2,500,1000
347,2023-08-03,Male,42,Middle Age,Electronics,1,25,25
348,2023-12-03,Female,35,Middle Age,Electronics,2,300,600
349,2023-10-26,Female,57,Old,Beauty,1,50,50
350,2023-10-17,Male,25,Adolescent,Beauty,3,25,75
351,2023-09-25,Female,56,Old,Clothing,3,30,90
352,2023-06-11,Male,57,Old,Electronics,2,500,1000
353,2023-05-14,Male,31,Adolescent,Electronics,1,500,500
354,2023-04-15,Female,49,Middle Age,Beauty,4,50,200
355,2023-12-09,Female,55,Old,Electronics,1,500,500
356,2023-06-10,Male,50,Middle Age,Electronics,3,500,1500
357,2023-05-03,Female,40,Middle Age,Electronics,3,25,75
358,2023-05-16,Female,32,Middle Age,Beauty,1,300,300
359,2023-07-22,Male,50,Middle Age,Clothing,1,50,50
360,2023-03-09,Male,42,Middle Age,Clothing,4,25,100
361,2023-12-10,Female,34,Middle Age,Electronics,4,300,1200
362,2023-11-27,Male,50,Middle Age,Clothing,1,25,25
363,2023-06-03,Male,64,Old,Beauty,1,25,25
364,2023-08-23,Female,19,Adolescent,Beauty,1,500,500
365,2023-06-11,Male,31,Adolescent,Clothing,1,300,300
366,2023-02-07,Male,57,Old,Clothing,2,50,100
367,2023-01-05,Female,57,Old,Electronics,1,50,50
368,2023-08-23,Female,56,Old,Clothing,4,300,1200
369,2023-11-15,Male,23,Adolescent,Electronics,3,500,1500
370,2023-10-16,Male,23,Adolescent,Electronics,2,30,60
371,2023-02-21,Female,20,Adolescent,Beauty,1,25,25
372,2023-02-07,Female,24,Adolescent,Beauty,3,500,1500
373,2023-10-03,Female,25,Adolescent,Beauty,2,300,600
374,2023-04-20,Female,59,Old,Beauty,3,25,75
375,2023-09-17,Male,32,Middle Age,Clothing,1,50,50
376,2023-05-16,Female,64,Old,Beauty,1,30,30
377,2023-03-09,Female,46,Middle Age,Clothing,4,50,200
378,2023-06-28,Male,50,Middle Age,Beauty,1,300,300
379,2023-02-05,Female,47,Middle Age,Clothing,1,25,25
380,2023-05-06,Male,56,Old,Electronics,2,300,600
381,2023-07-09,Female,44,Middle Age,Clothing,4,25,100
382,2023-05-26,Female,53,Middle Age,Clothing,2,500,1000
383,2023-03-22,Female,46,Middle Age,Beauty,3,30,90
384,2023-08-13,Male,55,Old,Clothing,1,500,500
385,2023-10-06,Male,50,Middle Age,Electronics,3,500,1500
386,2023-12-27,Female,54,Middle Age,Electronics,2,300,600
387,2023-06-04,Male,44,Middle Age,Beauty,1,30,30
388,2023-11-10,Male,50,Middle Age,Electronics,1,25,25
389,2023-12-01,Male,21,Adolescent,Clothing,2,25,50
390,2023-09-28,Male,39,Middle Age,Electronics,2,50,100
391,2023-01-05,Male,19,Adolescent,Beauty,2,25,50
392,2023-12-08,Male,27,Adolescent,Clothing,2,300,600
393,2023-10-11,Female,22,Adolescent,Beauty,2,500,1000
394,2023-06-03,Female,27,Adolescent,Clothing,1,500,500
395,2023-12-06,Male,50,Middle Age,Electronics,2,500,1000
396,2023-02-23,Female,55,Old,Beauty,1,30,30
397,2023-03-10,Female,30,Adolescent,Beauty,1,25,25
398,2023-05-16,Female,48,Middle Age,Clothing,2,300,600
399,2023-03-01,Female,64,Old,Beauty,2,30,60
400,2023-02-24,Male,53,Middle Age,Clothing,4,50,200
401,2023-10-11,Female,62,Old,Clothing,1,300,300
402,2023-03-21,Female,41,Middle Age,Clothing,2,300,600
403,2023-05-20,Male,32,Middle Age,Clothing,2,300,600
404,2023-05-25,Male,46,Middle Age,Electronics,2,500,1000
405,2023-11-06,Female,25,Adolescent,Clothing,4,300,1200
406,2023-04-18,Female,22,Adolescent,Beauty,4,25,100
407,2023-06-25,Female,46,Middle Age,Electronics,3,300,900
408,2023-04-15,Female,64,Old,Beauty,1,500,500
409,2023-12-18,Female,21,Adolescent,Electronics,3,300,900
410,2023-11-21,Female,29,Adolescent,Clothing,2,50,100
411,2023-05-16,Male,62,Old,Electronics,4,50,200
412,2023-09-16,Female,19,Adolescent,Electronics,4,500,2000
413,2023-09-08,Female,44,Middle Age,Beauty,3,25,75
414,2023-05-09,Male,48,Middle Age,Beauty,4,25,100
415,2023-01-27,Male,53,Middle Age,Clothing,2,30,60
416,2023-02-17,Male,53,Middle Age,Electronics,4,500,2000
417,2023-11-21,Male,43,Middle Age,Electronics,3,300,900
418,2023-08-05,Female,60,Old,Electronics,2,500,1000
419,2023-05-22,Female,44,Middle Age,Clothing,3,30,90
420,2023-01-23,Female,22,Adolescent,Clothing,4,500,2000
421,2023-01-02,Female,37,Middle Age,Clothing,3,500,1500
422,2023-06-20,Female,28,Adolescent,Clothing,3,30,90
423,2023-03-08,Female,27,Adolescent,Clothing,1,25,25
424,2023-11-23,Male,57,Old,Beauty,4,300,1200
425,2023-05-15,Female,55,Old,Electronics,4,30,120
426,2023-03-24,Male,23,Adolescent,Electronics,3,50,150
427,2023-08-15,Male,25,Adolescent,Electronics,1,25,25
428,2023-10-10,Female,40,Middle Age,Electronics,4,50,200
429,2023-12-28,Male,64,Old,Electronics,2,25,50
430,2023-08-07,Female,43,Middle Age,Electronics,3,300,900
431,2023-10-15,Male,63,Old,Electronics,4,300,1200
432,2023-01-05,Female,60,Old,Electronics,2,500,1000
433,2023-02-27,Male,29,Adolescent,Beauty,4,50,200
434,2023-02-08,Female,43,Middle Age,Electronics,2,25,50
435,2023-12-20,Female,30,Adolescent,Beauty,3,300,900
436,2023-03-18,Female,57,Old,Clothing,4,30,120
437,2023-10-07,Female,35,Middle Age,Electronics,4,300,1200
438,2023-01-19,Female,42,Middle Age,Clothing,1,30,30
439,2023-07-09,Male,50,Middle Age,Clothing,3,25,75
440,2023-10-26,Male,64,Old,Clothing,2,300,600
441,2023-10-10,Male,57,Old,Beauty,4,300,1200
442,2023-03-17,Female,60,Old,Clothing,4,25,100
443,2023-08-09,Male,29,Adolescent,Clothing,2,300,600
444,2023-03-07,Female,61,Old,Clothing,3,30,90
445,2023-01-22,Female,53,Middle Age,Electronics,1,300,300
446,2023-06-07,Male,21,Adolescent,Electronics,1,50,50
447,2023-07-06,Male,22,Adolescent,Beauty,4,500,2000
448,2023-01-21,Female,54,Middle Age,Beauty,2,30,60
449,2023-07-03,Male,25,Adolescent,Electronics,4,50,200
450,2023-04-18,Female,59,Old,Beauty,2,25,50
451,2023-12-16,Female,45,Middle Age,Electronics,1,30,30
452,2023-05-08,Female,48,Middle Age,Clothing,3,500,1500
453,2023-12-08,Female,26,Adolescent,Clothing,2,500,1000
454,2023-02-22,Female,46,Middle Age,Beauty,1,25,25
